Campaign Name,Subject,Sent Date,Emails Sent,Open Rate,Unique Opens,Click Rate,CTOR,Unique clicks,Bounce Rate,Bounces,Unsubscribe Rate,Unsubscribes
2026 Fall Weatherization September 16,Prepare Your Home for Fall & Save Energy,9/16/2026 14:15,111686,40.95,45730,1.48,3.62,1656,0.05,59,0.06,66
2026 HomeBoost Launch September 10,Make Your Home More Energy Efficient with HomeBoost,9/10/2026 14:29,184461,44.36,81835,1.41,3.17,2597,0.04,81,0.18,341
2026 End of Summer / Back to School V2 September 8,Start the School Year with Energy Savings,9/8/2026 14:35,126128,40.58,51186,1.47,3.62,1853,0.05,66,0.17,216
2026 Back to School Water Savers V2 September 3,Get Back to School with Water-Saving Upgrades,9/3/2026 15:09,93757,44.37,41600,1.29,2.91,1211,0.07,68,0.15,139
2026 HomeBoost Launch September 2,Discover Easy Energy-Saving Upgrades for Your Home,9/2/2026 14:51,185399,44.89,83225,1.51,3.37,2804,0.12,216,0.17,322
2026 End of Summer / Back to School V2 August 29,Donâ€™t Miss Your FREE Energy-Savings Pack,8/29/2026 14:29,129624,42.83,55517,2.64,6.17,3427,0.03,41,0.16,210
2026 HomeBoost Launch August 27,Discover Easy Energy-Saving Upgrades for Your Home,8/27/2026 15:42,186489,44.61,83197,1.97,4.41,3670,0.28,526,0.16,300
0826_FOCUS_RES_7543432_Summer Prep_PRJ100548_EML,Stay Cool and Lower Your Summer Energy Costs,8/20/2026 15:10,257662,30.89,79599,1.27,4.1,3260,0.26,671,0.24,619
2026 Summer packs (2025 style) August 19,Donâ€™t Miss Your FREE Energy-Savings Pack,8/19/2026 14:23,130471,41.93,54708,2.25,5.37,2936,0.05,65,0.23,300
2026 Summer packs (2025 style) July 30 (Copy),Donâ€™t Miss Your FREE Energy-Savings Pack,8/13/2026 15:26,147595,42.83,63220,2.47,5.76,3643,0.03,43,0.22,321
2026 Summer packs (2025 style) August 11,Donâ€™t Miss Your FREE Energy-Savings Pack,8/11/2026 15:07,150723,42.82,64547,2.38,5.56,3587,0.04,53,0.17,254
2026 Packs - Summer August 8,Donâ€™t Miss Your FREE Energy-Savings Pack,8/8/2026 13:36,151006,44.24,66806,2.53,5.72,3818,0.04,56,0.18,268
2026 Summer packs (2025 style) August 5,Donâ€™t Miss Your FREE Energy-Savings Pack,8/5/2026 14:22,151083,43.88,66302,2.86,6.52,4321,0.04,54,0.16,238
2026 Summer packs (2025 style) July 30,Donâ€™t Miss Your FREE Energy-Savings Pack,7/30/2026 14:32,153266,43.72,67010,3.17,7.25,4859,0.03,50,0.23,349
2026 Summer packs (2025 style) July 28,Donâ€™t Miss Your FREE Energy-Savings Pack,7/28/2026 14:41,153588,44.31,68056,3.36,7.59,5166,0.05,83,0.17,262
2026 Summer packs (2025 style),Donâ€™t Miss Your FREE Energy-Savings Pack,7/23/2026 21:51,154266,46.33,71469,3.78,8.15,5825,0.15,237,0.15,235
2026 Packs - Summer July 19,Donâ€™t Miss Your FREE Energy-Savings Pack,7/19/2026 13:22,155368,47.02,73052,4.38,9.32,6809,0.14,225,0.17,271
